#{"t_start": 1626369421.1535647, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
2832.0,16769,5090.860854
2832.0,16129,5117.079408
3990.0,22675,5153.673783
2160.0,14022,5176.241282
3060.0,19424,5207.55921
1236.0,8041,5220.746855
852.0,8833,5234.995444
2328.0,15305,5260.180334
1640.0,13355,5281.731033
2160.0,15101,5306.187795
4470.0,24633,5346.261114
1188.0,9859,5479.417967
3540.0,23163,5516.874887
660.0,6299,5526.958069
900.0,6463,5537.399362
1692.0,13179,5558.561197
1380.0,8385,5572.00081
4996.0,21999,5607.413218
3540.0,14679,5631.173597
4992.0,21537,5665.872756
1380.0,14721,5689.638095
660.0,8269,5703.195756
1952.0,12639,5723.335336
708.0,8479,5737.138516
708.0,8191,5750.283505
660.0,5531,5759.212992
660.0,12475,5779.380347
1380.0,11963,5798.667303
1380.0,12469,5818.729506
1380.0,11245,5836.840446
2004.0,12985,5857.931353
1692.0,13118,5878.862052
1044.0,6607,5889.661457
1484.0,7863,5902.286638
2608.0,13793,5924.574394
1380.0,10899,5941.943318
1432.0,10983,5959.833538
1640.0,11767,5978.916637
2944.0,17971,6007.669255
660.0,8513,6021.456067
1092.0,14001,6044.039438
3000.0,14451,6067.356888
1380.0,7141,6078.83383
4092.0,25361,6119.853517
1284.0,16241,6145.883095
660.0,8385,6159.440755
1952.0,19393,6190.804812
1796.0,10015,6206.782456
852.0,7726,6219.415078
1236.0,11825,6238.423282
1380.0,16481,6264.966219
660.0,11465,6283.415431
2056.0,17509,6311.450833
4670.0,22575,6347.956919
2160.0,13725,6370.149442
660.0,11527,6388.58923
708.0,9283,6403.544619
1332.0,14255,6426.449398
1284.0,16105,6452.292976
4862.0,20913,6486.457944
2160.0,14933,6510.357698
1536.0,13739,6532.248158
3540.0,21299,6566.768758
2108.0,15307,6591.495345
1332.0,11002,6609.1951
2888.0,19269,6640.183685
1432.0,15871,6666.086783
2776.0,20461,6699.52164
1900.0,12079,6719.285747
804.0,7123,6730.939264
1380.0,6821,6741.95691
1380.0,10697,6759.495962
660.0,5481,6901.981352
996.0,6913,6913.164167
900.0,6869,6924.291428
1536.0,11901,6943.629471
2720.0,22341,6979.919303
3840.0,27419,7024.429341
1380.0,8361,7037.988986
708.0,6037,7047.718024
1380.0,11867,7067.054579
2056.0,13005,7088.08051
1332.0,8773,7102.193195
4170.0,19167,7133.00818
5150.0,19723,7165.017036
3308.0,19601,7196.834933
1952.0,13265,7218.226912
1092.0,8438,7231.835166
804.0,5691,7241.055307
1900.0,9689,7256.559271
2160.0,11841,7275.593763
1140.0,6592,7286.205185
1284.0,9689,7302.120333
1380.0,12465,7322.40028
4350.0,25159,7363.219087
2608.0,16495,7389.876104
1380.0,10411,7406.541205
2888.0,15337,7431.111552
3308.0,14934,7455.363466
1332.0,8541,7469.116055
2160.0,11014,7486.925427
2160.0,11342,7505.019007
1484.0,9903,7521.276891
1044.0,12980,7542.084582
1332.0,10057,7558.114802
1284.0,12237,7577.937933
2636.0,12663,7598.021466
